Area_Name,Year,Subgroup,Rape_Cases_Reported,Victims_Above_50_Yrs,Victims_Between_10-14_Yrs,Victims_Between_14-18_Yrs,Victims_Between_18-30_Yrs,Victims_Between_30-50_Yrs,Victims_of_Rape_Total,Victims_Upto_10_Yrs
Andaman & Nicobar Islands,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andaman & Nicobar Islands,2010,Victims of Other Rape,24,0,1,12,8,1,24,2
Andhra Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Andhra Pradesh,2010,Victims of Other Rape,1362,15,133,283,749,152,1362,30
Arunachal Pradesh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Arunachal Pradesh,2010,Victims of Other Rape,47,0,10,0,34,1,47,2
Assam,2010,Victims of Incest Rape,13,0,0,0,10,3,13,0
Assam,2010,Victims of Other Rape,1708,10,9,29,1106,553,1708,1
Bihar,2010,Victims of Incest Rape,2,0,1,0,0,0,2,1
Bihar,2010,Victims of Other Rape,793,0,16,89,616,65,793,7
Chandigarh,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Chandigarh,2010,Victims of Other Rape,31,0,8,4,15,0,31,4
Chhattisgarh,2010,Victims of Incest Rape,21,0,2,3,13,3,21,0
Chhattisgarh,2010,Victims of Other Rape,991,16,85,268,411,187,991,24
Dadra & Nagar Haveli,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Dadra & Nagar Haveli,2010,Victims of Other Rape,3,0,1,1,0,0,3,1
Daman & Diu,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Daman & Diu,2010,Victims of Other Rape,1,0,0,0,0,0,1,1
Delhi,2010,Victims of Incest Rape,21,0,11,3,1,0,21,6
Delhi,2010,Victims of Other Rape,486,1,68,171,167,34,486,45
Goa,2010,Victims of Incest Rape,2,0,0,2,0,0,2,0
Goa,2010,Victims of Other Rape,34,2,5,12,11,0,34,4
Gujarat,2010,Victims of Incest Rape,4,0,0,2,1,0,4,1
Gujarat,2010,Victims of Other Rape,404,2,28,51,260,42,404,21
Haryana,2010,Victims of Incest Rape,15,0,1,1,11,2,15,0
Haryana,2010,Victims of Other Rape,705,5,22,79,470,125,705,4
Himachal Pradesh,2010,Victims of Incest Rape,7,1,3,2,1,0,7,0
Himachal Pradesh,2010,Victims of Other Rape,153,0,13,46,66,20,153,8
Jammu & Kashmir,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Jammu & Kashmir,2010,Victims of Other Rape,245,0,1,7,187,50,245,0
Jharkhand,2010,Victims of Incest Rape,11,0,0,0,10,1,11,0
Jharkhand,2010,Victims of Other Rape,762,0,0,0,594,168,762,0
Karnataka,2010,Victims of Incest Rape,2,0,0,0,2,0,2,0
Karnataka,2010,Victims of Other Rape,584,3,47,69,367,88,584,10
Kerala,2010,Victims of Incest Rape,14,0,5,2,2,0,14,5
Kerala,2010,Victims of Other Rape,620,12,43,131,326,86,622,24
Lakshadweep,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Lakshadweep,2010,Victims of Other Rape,0,0,0,0,0,0,0,0
Madhya Pradesh,2010,Victims of Incest Rape,21,0,1,10,4,4,21,2
Madhya Pradesh,2010,Victims of Other Rape,3114,12,303,816,1360,573,3115,51
Maharashtra,2010,Victims of Incest Rape,44,0,8,13,18,1,44,4
Maharashtra,2010,Victims of Other Rape,1555,11,126,502,657,167,1567,104
Manipur,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Manipur,2010,Victims of Other Rape,34,0,2,8,20,3,34,1
Meghalaya,2010,Victims of Incest Rape,8,0,4,1,1,0,8,2
Meghalaya,2010,Victims of Other Rape,141,0,30,25,40,17,143,31
Mizoram,2010,Victims of Incest Rape,3,0,0,1,0,0,3,2
Mizoram,2010,Victims of Other Rape,89,4,17,14,29,17,89,8
Nagaland,2010,Victims of Incest Rape,1,0,0,1,0,0,1,0
Nagaland,2010,Victims of Other Rape,15,0,1,1,6,6,15,1
Odisha,2010,Victims of Incest Rape,37,0,12,21,2,0,37,2
Odisha,2010,Victims of Other Rape,988,5,5,23,785,159,988,11
Puducherry,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Puducherry,2010,Victims of Other Rape,3,0,0,3,0,0,3,0
Punjab,2010,Victims of Incest Rape,17,0,4,7,5,0,17,1
Punjab,2010,Victims of Other Rape,529,1,35,76,341,55,530,22
Rajasthan,2010,Victims of Incest Rape,24,0,2,6,10,4,24,2
Rajasthan,2010,Victims of Other Rape,1547,36,70,271,795,342,1549,35
Sikkim,2010,Victims of Incest Rape,2,0,1,0,0,0,2,1
Sikkim,2010,Victims of Other Rape,16,0,6,2,1,2,16,5
Tamil Nadu,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Tamil Nadu,2010,Victims of Other Rape,686,0,50,139,411,66,687,21
Tripura,2010,Victims of Incest Rape,0,0,0,0,0,0,0,0
Tripura,2010,Victims of Other Rape,238,0,27,61,93,38,238,19
Uttar Pradesh,2010,Victims of Incest Rape,4,0,1,2,1,0,4,0
Uttar Pradesh,2010,Victims of Other Rape,1559,0,161,244,861,250,1559,43
Uttarakhand,2010,Victims of Incest Rape,11,0,2,2,5,1,11,1
Uttarakhand,2010,Victims of Other Rape,110,0,1,3,87,18,110,1
West Bengal,2010,Victims of Incest Rape,4,0,1,0,2,1,4,0
West Bengal,2010,Victims of Other Rape,2307,0,21,51,1777,458,2307,0
